,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
支付,3356,751,12.382321162283253,4828.0,1740.0,37.46926326580817,-8.819573635706767,155.76430552332968,56.137094368391395,65750.03474508252,8600.98769014071
信用卡,1603,653,12.550692651204681,1603.0,653.0,41.325038717021314,-7.979338895262328,51.717104754328396,21.06754173710321,46531.58046091871,18955.160349956284
信用,1849,741,11.687093589270306,2682.0,1232.0,38.217002065978896,-8.487732414059705,86.52855580231363,39.74764382865414,35899.196083996365,12371.924966313529
動支付,1184,360,16.906333349428877,1190.0,364.0,44.578935755417135,-7.990388731448912,38.39261051631365,11.743622040284176,34184.08577041041,10327.521132201358
行動支付,1164,355,16.983396370907855,1164.0,355.0,44.65886261704753,-7.979338895262328,37.55378037057907,11.453257759068359,33788.37158858976,10304.872778307014
銀行,5560,1152,8.95052753154558,21771.0,6674.0,28.64887051288876,-9.73605871331781,702.3911962610628,215.32124587048514,33594.332354632475,4074.6888905024857
動支,1190,366,16.78332917010493,1352.0,511.0,42.498218414114156,-8.313075152064666,43.61916757819837,16.486238633475864,30128.704556043787,7409.808392347654
額度,982,620,12.225863885381395,982.0,620.0,39.317486344459546,-7.979338895262328,31.681969350436983,20.002872705978543,28505.310051542223,17997.242598733374
手續費,798,405,15.175635472923524,799.0,406.0,41.542621200535116,-7.981804987757521,25.777895632382027,13.098655352624657,23133.268400887235,11725.376368929792
申辦,671,367,15.573014842861268,671.0,367.0,41.356953533805104,-7.979338895262328,21.648270299534843,11.840410134022783,19477.660941532413,10653.206506024435
刷卡,642,285,17.36897516698612,642.0,285.0,43.001203787228526,-7.979338895262328,20.712652060061654,9.194868905167557,18635.85443288198,8272.92603328873
手續,842,437,14.693384654287799,1125.0,667.0,39.40854257762639,-8.402195746082361,36.29553515197719,21.51921950788337,17885.386782640562,8021.8652398196455
聯名卡,519,152,21.432700061962905,519.0,152.0,46.334603650328866,-7.979338895262328,16.744340216778813,4.90393008275603,15065.433723778422,4412.227217753988
名卡,527,156,21.289139650709085,536.0,164.0,45.987041087144185,-8.029349315836988,17.29280608129758,5.291082457710453,15023.67067039841,4292.728001936495
子支,487,175,20.231749786977087,491.0,179.0,44.803597878908946,-8.001938727179569,15.840984675218492,5.775022926403483,14013.700680431713,4958.784273328178
付寶,448,131,22.054284033638258,456.0,136.0,46.2999610108951,-8.016796457797227,14.71179024826809,4.387726916150132,12761.103138481867,3653.5244790313795
電子支付,425,169,20.094506233268493,425.0,169.0,44.31027734804661,-7.979338895262328,13.711646612969163,5.4523959472747965,12336.819523325297,4905.6999986870005
回饋,838,253,18.909679134784003,1633.0,890.0,38.81603323000804,-9.237170869260993,52.68498569171446,28.713801142453068,11705.795562074369,1751.9205746533044
紅利,392,278,16.394440428627405,394.0,280.0,40.312096364024505,-7.98650738474094,12.711502977670236,9.033555415603214,11317.289877221463,8008.247581834391
消費,2634,875,10.696912801987391,13800.0,6654.0,27.491827771807124,-10.008088465483135,445.2252311975869,214.67599191222777,10760.250436974839,2031.0971514475368
金融,2900,858,10.98889133366704,16969.0,6876.0,27.678962045023894,-10.060527162277104,547.4657208834675,221.83831084888462,10109.158114022612,1824.3093052546797
優惠,1350,546,13.76228214303854,4529.0,2220.0,34.922141431218826,-9.381982394383748,146.11775884738196,71.62318936656833,9918.934303368687,3141.9064196516483
聯名,543,164,21.011825378635937,836.0,326.0,43.48346795819536,-8.666369848804836,26.971615455158165,10.51763951959517,9872.797352411966,2239.7454233669773
卡友,339,150,20.264371100340334,339.0,150.0,43.703787742740325,-7.979338895262328,10.937054592462461,4.839404686930293,9840.42780801712,4354.171596467751
金融卡,333,127,21.34456024205576,333.0,127.0,44.72265661960157,-7.979338895262328,10.74347840498525,4.097362634934314,9666.26094415841,3686.5319516760305
一卡通,313,114,21.878884430029586,313.0,114.0,45.04429094187358,-7.979338895262328,10.098224446727878,3.6779475620670223,9085.704731296042,3309.170413315492
一卡,327,124,21.449873445954037,346.0,142.0,44.20988851238592,-8.11488438725855,11.162893477852542,4.581303103627344,8936.130946174027,3112.8316214520737
行動,2054,605,13.58070767274591,10569.0,5989.0,27.876483461778665,-10.271790169495949,340.98445424110844,193.22129780017016,8605.736195635234,877.551809846227
悠遊,458,138,21.75181203118887,685.0,231.0,44.95638869471087,-8.494502920626916,22.099948070315005,7.452683217872651,8597.705961468975,2286.773960570657
發卡,288,158,19.434149084753294,298.0,167.0,42.15946698692243,-8.034737674652115,9.614283978034848,5.387870551449059,8060.777803330798,4322.758283150908
分期,290,196,18.0168440006012,306.0,210.0,40.785771121111885,-8.048331766749278,9.872385561337797,6.7751665617024095,7948.583438475654,5284.894070671292
支付寶,273,100,22.3014729161437,273.0,100.0,44.997365203931075,-7.979338895262328,8.807716530213133,3.226269791286862,7924.592305571307,2902.781064311834
卡通,403,134,21.567216683780696,584.0,251.0,43.391983691276074,-8.6069520344432,18.841415581115275,8.097937176130023,7832.628994747,1957.4527535271645
點數,438,126,22.259817639005938,692.0,255.0,44.271837494173,-8.684320533469275,22.325786955705084,8.226987967781497,7739.259168458595,1685.973337685751
遊卡,407,120,22.371060408221197,621.0,197.0,45.55390158692809,-8.47505088121827,20.035135403891413,6.355751488835118,7473.960290919741,2032.0201698185756
付款,426,254,17.226973533254903,695.0,446.0,40.07977406309034,-8.542323580263854,22.42257504944369,14.389163269139402,7263.873019515787,3990.041116706083
金回饋,254,81,23.435622544641472,262.0,87.0,45.632091333065844,-8.050797859244472,8.452826853171578,2.8068547184195696,7132.929052932853,2178.298694586157
現金回饋,239,75,23.715843120460463,239.0,75.0,45.9550059061313,-7.979338895262328,7.7107848011756,2.4197023434651466,6937.646743705284,2177.0857982338757
悠遊卡,369,107,22.850618631665792,552.0,167.0,46.0401647424489,-8.424503873217176,17.80900924790348,5.387870551449059,6925.433653753561,1916.3461245913147
電子票,250,94,22.408027394930084,268.0,110.0,44.24333220427361,-8.13652447878474,8.64640304064879,3.5488967704155483,6737.085755933717,2305.3367298961934
票證,274,107,21.866374617134195,330.0,152.0,43.44145598200622,-8.330390581646698,10.646690311246644,4.90393008275603,6514.227773748358,2125.562011823924
服務,2651,941,10.058722953386395,19475.0,8886.0,25.24471266303385,-10.224628039172801,628.3160418531163,286.6863336537505,6511.45303003607,1493.3616420116723
玉山,670,153,22.138218557163896,1841.0,588.0,42.90085142375772,-9.325627921768518,59.395626857591125,18.970466372766747,6277.191103556527,946.9411838035749
電子票證,220,79,23.08029881054672,235.0,92.0,44.51554819393525,-8.131679619844347,7.5817340095241255,2.9681682079839127,5951.345651234823,1947.611806534369
錢包,249,95,22.32528725749531,318.0,153.0,43.1604466330528,-8.455899925054222,10.25953793629222,4.9361927806688985,5555.514154762345,1643.2683509864169
玉山銀,313,100,22.7628277119266,507.0,174.0,45.20802710631156,-8.533224008488766,16.35718784182439,5.613709436839139,5379.711895226115,1586.967039621062
貸款,700,229,19.222157651531255,2270.0,1007.0,39.2603941250676,-9.46034778442665,73.23632426221177,32.4885367982587,5363.90526397617,1188.6270966736513
持卡,188,113,20.280604154866367,197.0,122.0,41.526707740994866,-8.055972121283244,6.355751488835118,3.9360491453699713,5191.30319603372,3022.052046787409
付業,198,108,20.73372227290607,218.0,126.0,41.99018920364811,-8.133489575089586,7.0332681450053585,4.065099937021445,5185.113367428655,2657.3672525789
帳戶,569,239,18.380817262944408,1641.0,794.0,39.79772934402623,-9.179958804577952,52.943087275017405,25.61658214281768,5030.207924744652,1777.4612851378836
支付業,186,105,20.70296441602348,201.0,118.0,41.869689301551745,-8.096063169570469,6.484802280486592,3.806998353718497,4969.420009804509,2689.7893381494
金回,260,87,23.050500757935044,427.0,227.0,42.25766307204231,-8.938380794089147,13.7761720087949,7.323632426221176,4400.799687455845,866.827167215914
國泰世華,277,117,21.310557018409817,483.0,219.0,43.25321547216405,-8.606236690281072,15.582883091915543,7.065530842918227,4385.5112439359555,1710.4995756918584
卡金,168,91,21.240842839979937,188.0,110.0,41.863377116361924,-8.168959754537894,6.065387207619301,3.5488967704155483,4323.354457449531,2154.9501016272025
方支付,222,82,22.874331014269774,322.0,130.0,44.34382993966225,-8.440154098453657,10.388588727943695,4.194150728672921,4310.440094726412,1443.3792613714545
第三方支付,216,80,22.933867180627033,311.0,123.0,44.48936033837783,-8.409496615960864,10.03369905090214,3.9683118432828404,4227.963875679542,1456.7447902929991
灣行動支付,145,60,23.219576719394237,145.0,60.0,43.7427455071908,-7.979338895262328,4.67809119736595,1.935761874772117,4209.03254325216,1741.6686385871008
持卡人,144,86,21.043541728656525,144.0,86.0,41.54294679822394,-7.979338895262328,4.645828499453081,2.774592020506701,4180.004732609042,2496.391715308178
金管,1181,390,16.254748642115583,6858.0,2321.0,36.02312496413965,-9.762945562413073,221.257582286453,74.88172185576806,4163.046069834241,1326.0850146027533
金管會,1153,371,16.608504278951727,6604.0,2156.0,36.60721504884852,-9.73914676468378,213.06285701658433,69.55837670014473,4146.578362511387,1306.3423352929221
刷卡金,142,70,22.22025957748573,142.0,70.0,42.67163807984685,-7.979338895262328,4.581303103627344,2.2583888539008035,4121.949111322806,2031.9467450182844
台灣行動支付,141,58,23.312570653566063,141.0,58.0,43.7396816091329,-7.979338895262328,4.549040405714475,1.8712364789463798,4092.921300679688,1683.6130173008642
退票,241,80,23.32783951627229,395.0,170.0,43.80914610161172,-8.733110697638708,12.743765675583104,5.484658645187665,4088.344829486924,1012.3758754058646
卡人,153,92,20.85054255407589,174.0,111.0,41.288165058888524,-8.167080519525621,5.613709436839139,3.5811594683284165,3869.5837200650867,2183.0615000829152
