,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
台幣,16735,10543,5.261288987013342,16737.0,10545.0,23.057151686140863,-9.753958385622111,3184.2222480029172,2006.1912890715635,57666.69641203099,36326.09879425313
新台幣,14929,9906,5.866566861723813,14929.0,9906.0,23.474707453576713,-9.753768704286186,2840.249384025545,1884.621233716729,51452.48592505581,34140.8215937841
人民幣,7987,2861,17.922523434730607,7988.0,2862.0,34.4896594126365,-9.754118171352472,1519.7208171743623,544.4968676455965,27521.96295262767,9855.312456453874
億元,18141,6487,10.548891908703188,31890.0,11633.0,23.326577466251642,-10.337814416889897,6067.087739069907,2213.1838089871503,24027.896670402566,8253.044668225128
美元,15145,4794,13.586182424301526,24713.0,8578.0,26.18965611592204,-10.335604354368682,4701.660059442916,1631.9685991138806,23196.774699818987,6126.614559629853
幣億,6457,4874,12.334387497323522,6528.0,4928.0,28.475853586125986,-9.76478697531439,1241.95511949352,937.5543549117748,21898.289784245902,16527.68635285387
幣億元,5914,4472,13.057205676297851,5974.0,4517.0,29.06204533360001,-9.763781025105855,1136.5563547570905,859.3614085098391,20081.685952431184,15187.04175389392
央行,5752,2410,18.98999176487555,5757.0,2415.0,34.99858664292103,-9.755841243888158,1095.2720010606913,459.4549040405714,19798.840502728854,8280.739062555343
日圓,5331,1771,21.792357085783927,5332.0,1772.0,37.687017655900775,-9.754333197668378,1014.4155479686655,337.12384677428264,18368.114890224668,6098.651407967448
台幣億,5301,4464,12.926824023794234,5302.0,4465.0,28.815213520043887,-9.753992693535638,1008.7080336327576,849.4683836609323,18264.7205239255,15380.01773439702
新台幣億,5133,4338,13.156594175650033,5133.0,4338.0,28.993119159959477,-9.753768704286186,976.5557028738109,825.3065729722563,17690.77702815402,14950.82617341363
台幣億元,4833,4074,13.66900437996652,4834.0,4075.0,29.403908685648478,-9.754014133174397,919.6708099925972,775.2706972941319,16651.768418622818,14035.891012661272
台股,8510,2525,19.29178713757544,12269.0,3792.0,33.041401514803944,-10.160421225951637,2334.1831129083935,721.4298120587358,16340.069470969018,4508.914614365357
新台幣億元,4706,3980,13.851371486104313,4706.0,3980.0,29.543773076783186,-9.753768704286186,895.3187488260576,757.1969018970908,16219.130468438118,13716.986669014812
匯率,3951,1949,20.22206425709121,3953.0,1951.0,35.616706987543076,-9.754794345401736,752.0601389947739,371.1786823118654,13606.91213871029,6707.06651320945
指數,8971,3269,16.784357621753674,15271.0,5410.0,29.95705745508243,-10.257533669402502,2905.315047454893,1029.2550852420254,12663.87064485934,4873.871749688374
市場,18631,7350,9.221919212624094,44255.0,18407.0,18.630919621751296,-10.671799418112025,8419.534897853206,3501.9405460351136,12384.771937812075,4228.387480196834
兌美元,3621,1713,21.218778290474674,3653.0,1737.0,36.38312462084031,-9.767681972203171,694.9849956356967,330.465080049057,12319.062799239064,5783.978157692231
人民,8924,3177,17.06385228977309,16083.0,7445.0,26.691190334486613,-10.60537401513478,3059.7984354801283,1416.4148076944325,11238.929855822736,2188.384506097547
幣萬,3075,2479,17.5036230924239,3149.0,2538.0,32.36245917594992,-9.77728982052533,599.0987547924469,482.8557128177931,10232.181133716482,8252.138080747442
利率,6074,2392,19.169908647354667,9454.0,4163.0,31.26670265943061,-10.307874836410639,1798.6280177223862,792.012739346128,10162.638081214247,3232.219770060946
萬元,8702,3727,15.413228760316715,16457.0,7231.0,27.0609290509068,-10.416542422981879,3130.9521142011117,1375.7012054316242,9912.823132966854,4018.7549443951425
幣萬元,2853,2333,17.902028677551687,2917.0,2384.0,32.65095166315151,-9.775393460449996,554.960643928094,453.55713922680013,9515.962870224062,7788.005438373286
台幣萬,2646,2289,17.92056073870247,2646.0,2289.0,32.657489761167284,-9.753768704286186,503.4027644270609,435.483343829759,9119.383599551053,7888.990574214799
走勢,2627,1937,19.387684586289105,2632.0,1942.0,34.097083966161044,-9.75634668973046,500.73925773697067,369.46642801109306,9028.620533011457,6650.567718803741
成交,5046,2651,17.824531709516712,7707.0,3939.0,31.187915396067453,-10.149758660968066,1466.2604328946932,749.3966323046836,8739.603879919761,4825.342431696391
外匯,2525,1456,21.822802043678056,2528.0,1458.0,36.474833010168545,-9.755141388098158,480.9532080391572,277.38519672511524,8687.18041149909,5007.955979263399
新台幣萬,2512,2189,18.210076930911285,2512.0,2189.0,32.860766523253076,-9.753768704286186,477.90920039333975,416.4582960433999,8657.555405167137,7544.342667958146
外資,5379,1894,21.168791073327636,8589.0,3164.0,33.73120647932956,-10.266914759427706,1634.06135437038,601.9525119604008,8582.643131496132,2773.2863941587107
台幣萬元,2482,2157,18.315136541250556,2482.0,2157.0,32.945889004256124,-9.753768704286186,472.201686057432,410.37028075176505,8554.16103329014,7434.055337956017
貨幣,3154,1574,21.666534496948934,3700.0,1953.0,35.35347192414473,-9.969515206185516,703.9267680952854,371.5591832675926,8527.675198286322,3891.3421679657554
幣元,2557,1920,19.40666038639025,2616.0,1963.0,33.97826358675109,-9.775917433540819,497.6952500911532,373.4616880462285,8520.748494626874,6404.353717923422
交易,7028,3351,16.134566338510627,13029.0,6175.0,28.12433923038041,-10.365018778045053,2478.7734760847225,1174.7967008076723,8349.07350976791,4031.217312884578
夏普,5049,474,34.226136435769746,7921.0,943.0,45.537432063482676,-10.441627665224567,1506.9740351575015,179.40620062536598,8325.25819484819,483.73749807681764
股市,4808,2492,18.32036042535365,7346.0,3903.0,31.12845719247532,-10.202428591559457,1397.580010385937,742.5476151015944,8322.217274950386,4121.733858922938
新台幣萬元,2378,2077,18.557821726443347,2378.0,2077.0,33.11754316800534,-9.753768704286186,452.4156363596186,395.1502425226778,8195.727210783221,7158.337012950696
投資,12005,4458,14.044304076989016,28462.0,11025.0,23.697511044829373,-10.659233890655418,5414.909100953518,2097.511518446087,8020.318946821795,2656.4363640189063
約新台幣,2292,1846,19.510055743360933,2292.0,1846.0,34.008652679656336,-9.753768704286186,436.0540952633498,351.20238213618836,7899.330011402499,6362.2003494978235
幣兌,2287,1250,22.910758366718248,2297.0,1258.0,37.368661299964884,-9.760148311250225,437.00534765266775,239.33510115239704,7831.666665172978,4267.838410849019
銀行,9789,3152,17.30070481038701,21771.0,6674.0,28.64887051288876,-10.503950912619736,4141.943153568232,1269.731689261604,7699.103981994467,2790.301308200256
第季,8485,2554,19.171416198101472,17934.0,6086.0,29.138938290940708,-10.622098998150618,3411.952070005635,1157.8644082778128,7542.841977841035,1683.4394222140913
幣兌美元,2190,1209,23.0869514140478,2195.0,1214.0,37.483967316856656,-9.757895825290836,417.5997989105815,230.96408012639904,7522.519122415726,4141.571538048298
歐元,2071,1172,23.20696500837147,2071.0,1172.0,37.537308645074994,-9.753768704286186,394.0087396554963,222.97356005612826,7137.658138575293,4039.273461327979
升值,2020,1125,23.492390263538717,2087.0,1179.0,37.519289827034775,-9.800652290185036,397.0527473013137,224.30531340117338,6633.772975869543,3616.7262654916435
貶值,1967,1139,23.31368497775794,2050.0,1211.0,37.21065093639948,-9.815064484392096,390.01347962036084,230.3933286928083,6376.411625259255,3583.289880084558
台幣元,1848,1603,20.232057538895585,1848.0,1603.0,34.37334813206514,-9.753768704286186,351.5828830919155,304.97151601533585,6369.093307622959,5524.705937294154
鴻海,5099,1018,26.97172431432897,9259.0,2065.0,38.30707732403369,-10.461059012570852,1761.529174538986,392.86723678831476,6323.319347644958,994.7150972307812
開盤,2781,1785,20.24197600233008,3670.0,2280.0,33.89677081655926,-9.998525732020934,698.2192537593778,433.7710895289867,6212.913226832338,4209.177634395275
金額,4629,2749,17.320463877459243,8115.0,4843.0,29.28323080340786,-10.320065858524169,1543.8826278630381,921.3830642933696,6164.943518430234,3625.1845656001506
