,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
日本,22556,8235,2.1506392352833625,22582.0,8260.0,26.393659483826923,-9.214271191122302,2497.3011811241117,913.4579645773256,161114.48684986497,58683.57368942012
夏普,7920,942,23.578338706477105,7921.0,943.0,45.537432063482676,-9.212300975276113,875.9685880650115,104.28460782038958,56644.015788205776,6729.344751464175
鴻海,6880,1109,21.64027819574299,9259.0,2065.0,38.30707732403369,-9.832911485263784,1023.9355077507818,228.3644911443314,33491.84697453511,3395.969730545093
日圓,4335,1262,19.41254416263076,5332.0,1772.0,37.687017655900775,-9.550651055282886,589.6559161169855,195.96216867203643,23789.470983437863,5799.265570102848
東京,2904,1596,16.475836390658927,2904.0,1596.0,36.235725778137,-9.211239967219019,321.1479333090258,176.4986575623985,20772.747094064354,11416.427121944454
晴天,2945,161,37.11840113206036,3334.0,263.0,53.223030984589606,-9.701989634412321,368.700829770073,29.084678533152132,18001.905280946976,598.3099320787253
安倍,1562,547,24.282526263173366,1565.0,550.0,42.641044079918025,-9.216709443023554,173.0704254919509,60.82347221761853,11146.476109130666,3886.125003203367
億日,1363,509,24.478054349411334,1431.0,535.0,42.41281016360108,-9.261058697564502,158.25161589711294,59.16465024804712,9171.58830114035,3420.1476901850006
億日圓,1333,489,24.74026642678191,1390.0,506.0,42.72270764730515,-9.245414147031612,153.71750251361775,55.95759444020904,9047.162399444507,3351.2113393899126
在日本,1253,1007,18.67818796601668,1254.0,1008.0,36.58275322578081,-9.212232523131771,138.67751665617024,111.47283635519904,8953.971969113074,7194.298871792355
熊本,1279,314,28.227324932105397,1334.0,334.0,45.913980324833574,-9.272987974287465,147.52456716055113,36.93643585579016,8678.125140512599,2078.2789892343967
台日,1230,512,24.124522591298227,1445.0,639.0,40.992658225574175,-9.432819796557046,159.79984973537958,70.66581590374226,7167.268076428241,2756.2953821579626
郭台銘,1379,438,25.749070602770683,1836.0,613.0,42.53259241328645,-9.547385992778784,203.03980907554111,67.79052448981847,6810.892784698134,2021.7435517571212
