,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
台灣,85066,27183,7.807573046124786,85115.0,27232.0,14.834887469698096,-10.844279644413989,48100.83220082424,15389.553691979627,28407.484193128075,9037.648433732336
台北,19931,11009,16.742560471201944,19939.0,11017.0,22.956177174315233,-10.84320508420072,11268.078402775476,6226.010319643784,6660.071745788903,3674.4221592782305
民黨,17848,5651,23.76841428875725,18206.0,5810.0,29.681246910019823,-10.870226720147173,10288.712342691726,3283.391118918979,5553.93405730921,1707.2507084137142
國民黨,16371,5292,24.280651172580146,16371.0,5292.0,30.389046234278606,-10.842478669931058,9251.703271570153,2990.6550432563226,5478.384295266099,1770.912570432361
民進黨,15105,5968,22.8210430837798,15105.0,5968.0,28.883504671921273,-10.842478669931058,8536.25178163015,3372.6812732716808,5054.730607781711,1997.1289154082253
立委,14058,6571,21.651148288991628,14070.0,6583.0,27.65559949731852,-10.844303210501067,7951.3447578640325,3720.234722176185,4689.928481521938,2184.502666136079
國民,18132,6380,22.492107534744374,19422.0,7351.0,27.300570786437593,-10.984146930966311,10975.907454672015,4154.25268763742,4665.642520108969,1192.5011478554582
總統,35877,10509,18.179426038995548,44435.0,14335.0,21.563145299106807,-11.152950736382932,25111.443092799454,8101.103561050526,4615.314822564146,715.7006717679457
蔡英文,13552,5587,23.28159044814332,13557.0,5592.0,29.273757027816725,-10.843373204385557,7661.434319997348,3160.1933110146174,4529.0167064222915,1863.6172303691565
兩岸,13550,3999,26.79717311798083,13555.0,4004.0,32.785646500933034,-10.843728201519351,7660.30406487896,2262.770747014043,4528.347427776604,1332.2127409071836
立法,14730,7408,20.47636968430073,15231.0,7699.0,26.19858105822876,-10.881008622883094,8607.457854088634,4350.917078237042,4355.005039107445,2147.9968067609257
英文,14394,6016,22.632753681783253,14856.0,6302.0,28.260748916441734,-10.888923126618604,8395.535019390765,3561.433878042583,4285.7997781547465,1691.7048170419625
行政,16623,8104,19.747474347411593,17807.0,8870.0,25.056335936195765,-10.932795699306165,10063.226446573193,5012.6814500535875,4276.027107279383,1906.4148544968143
行政院,12526,6415,21.665106907290607,12528.0,6417.0,27.61789125400373,-10.842790390631837,7079.918061586397,3626.423547349929,4189.286969412891,2144.3051344504465
北市,13284,5698,23.030910557160077,13522.0,5813.0,28.859114382942305,-10.862460222574557,7641.654855425548,3285.086501596562,4166.120995100872,1772.2977912295262
立法院,12161,6575,21.347354578919955,12162.0,6576.0,27.28472537506156,-10.84263074962111,6873.0813749212775,3716.278829261825,4068.3474936705106,2199.05101513869
高雄,9577,4713,24.242467360012437,9580.0,4716.0,30.039336891287604,-10.84311500466459,5413.9220170815515,2665.141569160396,3201.2316093911836,1573.5464867189028
法院,15106,7508,20.38263363022849,17259.0,8521.0,25.41549274634718,-10.969043256052615,9753.536544134708,4815.4519318947705,2937.279715592129,1505.531609824328
桃園,7500,3367,26.99658884647921,7501.0,3368.0,32.65697988231379,-10.842775626132202,4239.021821516568,1903.3496193664578,2508.5925782615273,1125.5275514972295
在台,9333,6755,20.530481485823806,9947.0,7269.0,25.735121654112216,-10.915814429021395,5621.3238313058655,4107.912227783486,2450.7643385582364,1705.7505821148004
院長,9792,5450,22.814987957826023,10562.0,5838.0,28.13681370396052,-10.91125133368783,5968.87728021037,3299.2146905764193,2448.7464969386187,1402.1147094322866
浪高,7144,296,50.8721700256664,7157.0,309.0,56.09323798410087,-10.885460492504745,4044.617941153723,174.6244157910438,2375.0498283054235,84.36410438557358
黨團,7270,2212,31.067519759564856,7392.0,2280.0,36.474407856196386,-10.87275702923732,4177.422917564387,1288.4908349630416,2289.4576870809633,661.9132668737401
台中,6676,2959,27.94662668043178,6695.0,2977.0,33.49333647940839,-10.848543378546626,3783.5290088059487,1682.3847437214802,2211.265835527309,968.712132373495
林全,6777,2095,31.380688951451997,6845.0,2137.0,36.82818952949202,-10.862328092893968,3868.298142685096,1207.6775939982542,2187.149537774372,651.9463937275507
委員,16339,7898,19.99126550165115,20171.0,10191.0,23.830961880936464,-11.097374084913158,11399.187996508557,5759.214955749279,2140.6562149261968,794.275174769097
政府,30379,13555,15.034597779220928,41303.0,19192.0,18.03532750629388,-11.190216712517824,23341.463577402854,10845.928116057323,2121.8429056577684,676.6659702919552
