,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
台積電,4626,1736,5.725540998939773,4628.0,1738.0,37.31294010078863,-8.067044957569315,162.8111858751257,61.14214370159215,122350.6498245634,45879.1378414076
半導體,3841,1671,5.965871957659267,3841.0,1671.0,36.93996997846058,-8.065893546964274,135.124841172506,58.78511054393583,101635.7212607705,44215.90477134795
台股,5184,1250,8.932315169133405,12269.0,3792.0,33.041401514803944,-9.17564358004284,431.6185046460494,133.40104080347376,52326.602391395805,9346.203209280353
晶圓,1805,700,12.873361160114627,2051.0,833.0,40.440359812135796,-8.239846854087713,72.15335830377761,29.304606273547904,41616.323262401296,15350.225386645996
奈米,1174,340,18.048080649940488,1390.0,457.0,43.56167911343476,-8.361631320248271,48.89964312152651,16.077076911178143,25886.708618755096,6526.438896952302
日月光,1536,384,17.634714096774573,3093.0,632.0,44.86180411888383,-8.564140388523404,108.8105008452385,22.233506800578958,18719.42368314861,5886.385659971498
半導體產,685,391,15.790591677698547,685.0,391.0,40.993731987773664,-8.065893546964274,24.09802556708321,13.755223352889832,18125.6102743108,10346.151266066456
指數,3644,1091,9.854497502603806,15271.0,5410.0,29.95705745508243,-9.66704793297173,537.2276619487996,190.32163258090534,17966.376350516388,4262.371599780582
外資,2585,853,11.666489094157276,8589.0,3164.0,33.73120647932956,-9.376726328360139,302.15757897179225,111.30825240036681,17247.191141058334,4942.191046884006
半導體產業,645,373,16.016426444048296,645.0,373.0,41.01816532841672,-8.065893546964274,22.69084159236302,13.121990564265749,17067.18047727076,9869.857857398436
製程,1111,482,15.128168615978453,1915.0,983.0,38.701798927690824,-8.77855855306084,67.36893278972897,34.58154617874861,16167.182102259798,5788.731128014682
日月,1559,399,17.346121491997348,3819.0,1089.0,40.87657560840105,-9.06994725300737,134.35088998640987,38.310583711757104,15106.897221654574,3395.8463280325345
矽品,1293,288,19.619276579558004,2771.0,498.0,46.44326340375702,-8.613533143852981,97.48266984874098,17.519440485266333,14661.700268465245,4175.91721247776
體產業,692,395,15.73517456290812,851.0,532.0,39.7897478955588,-8.363651271404796,29.93783906217199,18.715546863778492,14641.213884388688,7565.367483119303
權值,718,481,14.319726571320036,944.0,659.0,38.641923728716606,-8.380749811361019,33.20954180339642,23.18335598351509,14120.57939291276,9040.799774094556
聯電,624,265,18.487487269577645,741.0,348.0,42.30793927913256,-8.338366200752526,26.06808313169147,12.24250058006563,13714.954621084617,5218.40722777206
體產,774,432,15.283769651339886,1130.0,743.0,38.563835942101655,-8.608164003437922,39.752947285845295,26.13844233042748,13561.729915089465,6301.967114628661
權值股,625,432,14.856670605266494,829.0,593.0,38.817174882303846,-8.382662357717889,29.16388787607588,20.861502425226778,12173.297127581842,8102.717663500417
晶圓代工,454,344,15.839559240233026,454.0,344.0,39.665887178232744,-8.065893546964274,15.971538113074127,12.101782182593611,12013.178196404531,9102.496254544401
封測,630,248,19.004937755595343,910.0,398.0,42.40145787974935,-8.53891680608373,32.013435424884264,14.001480548465866,11169.933081733348,3910.6797967526013
權證,1168,133,25.604567593299443,3031.0,371.0,49.56433676349178,-9.091746481349954,106.62936568442221,13.051631365529737,10564.703411267,1102.3611328825489
漢微科,495,117,23.801838777184702,627.0,166.0,46.88685280367147,-8.415707400523061,22.057608803738937,5.8398134950887775,10140.469321974857,2115.9215228702783
奈米製程,385,194,19.455420910023587,387.0,195.0,42.72600042380126,-8.071034946464692,13.614504955417813,6.860021876760914,10130.899829348702,5105.139902046841
第季,3147,938,11.065538549547679,17934.0,6086.0,29.138938290940708,-9.935889928414966,630.910935065796,214.1030417536765,10034.228019872988,2447.544891777704
